Distance[um],dz[um],Mag_Ey
0.505051,1.46,1.12883e+06
0.525253,1.46,1.07986e+06
0.545455,1.46,1.03072e+06
0.565657,1.46,980784
0.585859,1.46,929505
0.606061,1.46,876440
0.626263,1.46,821240
0.646465,1.46,763649
0.666667,1.46,703506
0.686869,1.46,640746
0.707071,1.46,575398
0.727273,1.46,459027
0.747475,1.46,404210
0.767677,1.46,360368
0.787879,1.46,325264
0.808081,1.46,297438
0.828283,1.46,276203
0.848485,1.46,261650
0.868687,1.46,481314
0.888889,1.46,407689
0.909091,1.46,340209
0.929293,1.46,283187
0.949495,1.46,239650
0.969697,1.46,211335
0.989899,1.46,198694
1.0101,1.46,200890
1.0303,1.46,353161
1.05051,1.46,297679
1.07071,1.46,236038
1.09091,1.46,178154
1.11111,1.46,132014
1.13131,1.46,103686
1.15152,1.46,97311.3
1.17172,1.46,115110
1.19192,1.46,157376
1.21212,1.46,273891
1.23232,1.46,209109
1.25253,1.46,307450
1.27273,1.46,382657
1.29293,1.46,463195
1.31313,1.46,547202
1.33333,1.46,633057
1.35354,1.46,735344
1.37374,1.46,814974
1.39394,1.46,900482
1.41414,1.46,987157
1.43434,1.46,1.07134e+06
1.45455,1.46,1.15043e+06
1.47475,1.46,1.22288e+06
1.49495,1.46,1.28818e+06
1.51515,1.46,1.34691e+06
1.53535,1.46,1.40068e+06
1.55556,1.46,1.45214e+06
1.57576,1.46,1.47071e+06
1.59596,1.46,1.51602e+06
1.61616,1.46,1.47326e+06
1.63636,1.46,1.45631e+06
1.65657,1.46,1.43887e+06
1.67677,1.46,1.41676e+06
1.69697,1.46,1.38667e+06
1.71717,1.46,1.3461e+06
1.73737,1.46,1.29335e+06
1.75758,1.46,1.2276e+06
1.77778,1.46,1.1488e+06
1.79798,1.46,1.05776e+06
1.81818,1.46,956112
1.83838,1.46,846304
1.85859,1.46,731615
1.87879,1.46,616151
1.89899,1.46,504841
1.91919,1.46,403442
1.93939,1.46,318535
1.9596,1.46,257530
1.9798,1.46,111839
2,1.46,0
0,1.48,0
0.020202,1.48,283247
0.040404,1.48,317494
0.0606061,1.48,368538
0.0808081,1.48,431880
0.10101,1.48,503480
0.121212,1.48,579759
0.141414,1.48,657597
0.161616,1.48,734334
0.181818,1.48,807767
0.20202,1.48,876156
0.222222,1.48,938217
0.242424,1.48,993129
0.262626,1.48,1.04053e+06
0.282828,1.48,1.08051e+06
0.30303,1.48,1.11363e+06
0.323232,1.48,1.1409e+06
0.343434,1.48,1.05137e+06
0.363636,1.48,1.05969e+06
0.383838,1.48,1.06486e+06
0.40404,1.48,1.2944e+06
0.424242,1.48,1.244e+06
0.444444,1.48,1.19704e+06
0.464646,1.48,1.15247e+06
0.484848,1.48,1.10932e+06
0.505051,1.48,1.06676e+06
0.525253,1.48,1.024e+06
0.545455,1.48,980387
0.565657,1.48,935340
0.585859,1.48,888380
0.606061,1.48,839122
0.626263,1.48,787274
0.646465,1.48,732641
0.666667,1.48,675120
0.686869,1.48,614705
0.707071,1.48,551483
0.727273,1.48,452878
0.747475,1.48,406656
0.767677,1.48,368788
0.787879,1.48,337283
0.808081,1.48,310927
0.828283,1.48,289279
0.848485,1.48,272675
0.868687,1.48,262225
0.888889,1.48,440481
0.909091,1.48,362430
0.929293,1.48,295215
0.949495,1.48,242224
0.969697,1.48,205560
0.989899,1.48,186036
1.0101,1.48,397819
1.0303,1.48,348047
1.05051,1.48,284084
1.07071,1.48,217330
1.09091,1.48,157263
1.11111,1.48,111435
1.13131,1.48,85476.3
1.15152,1.48,83092
1.17172,1.48,106065
1.19192,1.48,152237
1.21212,1.48,194925
1.23232,1.48,172238
1.25253,1.48,259242
1.27273,1.48,317986
1.29293,1.48,386017
1.31313,1.48,461196
1.33333,1.48,541622
1.35354,1.48,625636
1.37374,1.48,711819
1.39394,1.48,798994
1.41414,1.48,886222
1.43434,1.48,972807
1.45455,1.48,1.05829e+06
1.47475,1.48,1.14246e+06
1.49495,1.48,1.34371e+06
1.51515,1.48,1.4049e+06
1.53535,1.48,1.46084e+06
1.55556,1.48,1.51411e+06
1.57576,1.48,1.56834e+06
1.59596,1.48,1.47537e+06
1.61616,1.48,1.46352e+06
1.63636,1.48,1.45457e+06
1.65657,1.48,1.44366e+06
1.67677,1.48,1.42679e+06
1.69697,1.48,1.40075e+06
1.71717,1.48,1.36317e+06
1.73737,1.48,1.31252e+06
1.75758,1.48,1.24808e+06
1.77778,1.48,1.16996e+06
1.79798,1.48,1.07909e+06
1.81818,1.48,977239
1.83838,1.48,866987
1.85859,1.48,751750
1.87879,1.48,635766
1.89899,1.48,524101
1.91919,1.48,422644
1.93939,1.48,338113
1.9596,1.48,278048
1.9798,1.48,250820
2,1.48,0
0,1.5,567983
0.020202,1.5,677177
0.040404,1.5,654315
0.0606061,1.5,649397
0.0808081,1.5,658830
0.10101,1.5,679332
0.121212,1.5,707928
0.141414,1.5,741952
0.161616,1.5,779046
0.181818,1.5,817162
0.20202,1.5,854558
0.222222,1.5,889803
0.242424,1.5,921772
0.262626,1.5,949651
0.282828,1.5,972933
0.30303,1.5,991418
0.323232,1.5,1.00522e+06
0.343434,1.5,1.01475e+06
0.363636,1.5,1.02075e+06
0.383838,1.5,1.24346e+06
0.40404,1.5,1.18102e+06
0.424242,1.5,1.62786e+06
0.444444,1.5,1.47755e+06
0.464646,1.5,1.0865e+06
0.484848,1.5,1.05073e+06
0.505051,1.5,1.01473e+06
0.525253,1.5,977820
0.545455,1.5,939374
0.565657,1.5,898880
0.585859,1.5,855918
0.606061,1.5,810160
0.626263,1.5,761374
0.646465,1.5,709424
0.666667,1.5,654267
0.686869,1.5,595954
0.707071,1.5,534632
0.727273,1.5,456644
0.747475,1.5,417067
0.767677,1.5,383494
0.787879,1.5,354182
0.808081,1.5,328161
0.828283,1.5,305237
0.848485,1.5,285993
0.868687,1.5,271783
0.888889,1.5,476480
0.909091,1.5,386499
0.929293,1.5,308019
0.949495,1.5,244793
0.969697,1.5,199285
0.989899,1.5,172670
1.0101,1.5,401418
1.0303,1.5,340663
1.05051,1.5,269755
1.07071,1.5,199658
1.09091,1.5,139413
1.11111,1.5,96135.2
1.13131,1.5,75018
1.15152,1.5,103789
1.17172,1.5,123458
