Distance[um],dz[um],Mag_Ex
0.929293,1.46,3.23169e+06
0.949495,1.46,3.25313e+06
0.969697,1.46,3.27546e+06
0.989899,1.46,3.29866e+06
1.0101,1.46,3.32271e+06
1.0303,1.46,2.77688e+06
1.05051,1.46,2.77223e+06
1.07071,1.46,2.76783e+06
1.09091,1.46,2.76371e+06
1.11111,1.46,2.75988e+06
1.13131,1.46,2.75634e+06
1.15152,1.46,2.75311e+06
1.17172,1.46,2.75021e+06
1.19192,1.46,2.74764e+06
1.21212,1.46,2.90378e+06
1.23232,1.46,2.97742e+06
1.25253,1.46,2.35122e+06
1.27273,1.46,2.28811e+06
1.29293,1.46,2.22646e+06
1.31313,1.46,2.16642e+06
1.33333,1.46,2.10813e+06
1.35354,1.46,2.0898e+06
1.37374,1.46,2.02294e+06
1.39394,1.46,1.95826e+06
1.41414,1.46,1.89606e+06
1.43434,1.46,1.83666e+06
1.45455,1.46,1.78036e+06
1.47475,1.46,1.72751e+06
1.49495,1.46,1.67843e+06
1.51515,1.46,1.63348e+06
1.53535,1.46,1.59303e+06
1.55556,1.46,1.55744e+06
1.57576,1.46,1.23994e+06
1.59596,1.46,1.14447e+06
1.61616,1.46,940237
1.63636,1.46,929887
1.65657,1.46,928149
1.67677,1.46,934988
1.69697,1.46,950290
1.71717,1.46,973853
1.73737,1.46,1.00539e+06
1.75758,1.46,1.04455e+06
1.77778,1.46,1.09086e+06
1.79798,1.46,1.1438e+06
1.81818,1.46,1.20276e+06
1.83838,1.46,1.26703e+06
1.85859,1.46,1.33583e+06
1.87879,1.46,1.40829e+06
1.89899,1.46,1.48346e+06
1.91919,1.46,1.56031e+06
1.93939,1.46,1.63773e+06
1.9596,1.46,1.71451e+06
1.9798,1.46,1.84183e+06
2,1.46,1.8445e+06
0,1.48,938777
0.020202,1.48,727506
0.040404,1.48,696405
0.0606061,1.48,670508
0.0808081,1.48,650009
0.10101,1.48,635051
0.121212,1.48,625717
0.141414,1.48,622034
0.161616,1.48,623976
0.181818,1.48,631456
0.20202,1.48,644335
0.222222,1.48,662416
0.242424,1.48,685446
0.262626,1.48,713116
0.282828,1.48,745060
0.30303,1.48,780856
0.323232,1.48,820028
0.343434,1.48,854306
0.363636,1.48,895135
0.383838,1.48,936798
0.40404,1.48,1.76104e+06
0.424242,1.48,1.75953e+06
0.444444,1.48,1.76343e+06
0.464646,1.48,1.77262e+06
0.484848,1.48,1.78696e+06
0.505051,1.48,1.80631e+06
0.525253,1.48,1.83049e+06
0.545455,1.48,1.85932e+06
0.565657,1.48,1.89262e+06
0.585859,1.48,1.93017e+06
0.606061,1.48,1.97174e+06
0.626263,1.48,2.01711e+06
0.646465,1.48,2.06601e+06
0.666667,1.48,2.11819e+06
0.686869,1.48,2.17335e+06
0.707071,1.48,2.2312e+06
0.727273,1.48,2.72869e+06
0.747475,1.48,2.78338e+06
0.767677,1.48,2.8402e+06
0.787879,1.48,2.89903e+06
0.808081,1.48,2.95979e+06
0.828283,1.48,3.02239e+06
0.848485,1.48,3.08673e+06
0.868687,1.48,3.15273e+06
0.888889,1.48,3.23147e+06
0.909091,1.48,3.25141e+06
0.929293,1.48,3.27226e+06
0.949495,1.48,3.294e+06
0.969697,1.48,3.3166e+06
0.989899,1.48,3.34003e+06
1.0101,1.48,2.77721e+06
1.0303,1.48,2.77363e+06
1.05051,1.48,2.77035e+06
1.07071,1.48,2.76737e+06
1.09091,1.48,2.7647e+06
1.11111,1.48,2.76236e+06
1.13131,1.48,2.76034e+06
1.15152,1.48,2.75865e+06
1.17172,1.48,2.75732e+06
1.19192,1.48,2.88539e+06
1.21212,1.48,2.84551e+06
1.23232,1.48,2.90676e+06
1.25253,1.48,2.31594e+06
1.27273,1.48,2.25548e+06
1.29293,1.48,2.19638e+06
1.31313,1.48,2.13876e+06
1.33333,1.48,2.08276e+06
1.35354,1.48,2.02853e+06
1.37374,1.48,1.97621e+06
1.39394,1.48,1.92597e+06
