Distance[um],dz[um],Mag_Ez
0.787879,1.5,401063
0.808081,1.5,415824
0.828283,1.5,437718
0.848485,1.5,466007
0.868687,1.5,499492
0.888889,1.5,551375
0.909091,1.5,582342
0.929293,1.5,615796
0.949495,1.5,651489
0.969697,1.5,689371
0.989899,1.5,729583
1.0101,1.5,603899
1.0303,1.5,603020
1.05051,1.5,600599
1.07071,1.5,598100
1.09091,1.5,596625
1.11111,1.5,596917
1.13131,1.5,599355
1.15152,1.5,555226
1.17172,1.5,543380
1.19192,1.5,529917
1.21212,1.5,523282
1.23232,1.5,551021
1.25253,1.5,590166
1.27273,1.5,552848
1.29293,1.5,573975
1.31313,1.5,606365
1.33333,1.5,647395
1.35354,1.5,694738
1.37374,1.5,746363
1.39394,1.5,800536
1.41414,1.5,855820
1.43434,1.5,911073
1.45455,1.5,965451
1.47475,1.5,1.0184e+06
1.49495,1.5,1.06968e+06
1.51515,1.5,1.11933e+06
1.53535,1.5,1.16768e+06
1.55556,1.5,1.21538e+06
1.57576,1.5,1.06565e+06
1.59596,1.5,1.1989e+06
1.61616,1.5,1.20343e+06
1.63636,1.5,1.20594e+06
1.65657,1.5,1.20496e+06
1.67677,1.5,1.1993e+06
1.69697,1.5,1.18803e+06
1.71717,1.5,1.1705e+06
1.73737,1.5,1.14634e+06
1.75758,1.5,1.11544e+06
1.77778,1.5,1.07799e+06
1.79798,1.5,1.03444e+06
1.81818,1.5,985499
1.83838,1.5,932177
1.85859,1.5,875743
1.87879,1.5,817748
1.89899,1.5,760013
1.91919,1.5,704634
1.93939,1.5,653985
1.9596,1.5,610710
1.9798,1.5,577732
2,1.5,558245
0,1.52,956101
0.020202,1.52,757093
0.040404,1.52,698114
0.0606061,1.52,669860
0.0808081,1.52,667480
0.10101,1.52,686539
0.121212,1.52,723009
0.141414,1.52,773279
0.161616,1.52,834145
0.181818,1.52,902818
0.20202,1.52,976921
0.222222,1.52,1.05449e+06
0.242424,1.52,1.13397e+06
0.262626,1.52,1.21421e+06
0.282828,1.52,1.2945e+06
0.30303,1.52,1.3745e+06
0.323232,1.52,1.45433e+06
0.343434,1.52,1.53447e+06
0.363636,1.52,1.61585e+06
0.383838,1.52,1.63662e+06
0.40404,1.52,1.59078e+06
0.424242,1.52,1.11583e+06
0.444444,1.52,1.10394e+06
0.464646,1.52,1.08976e+06
0.484848,1.52,1.07324e+06
0.505051,1.52,1.05433e+06
0.525253,1.52,1.03302e+06
0.545455,1.52,1.25935e+06
0.565657,1.52,1.23037e+06
0.585859,1.52,1.19696e+06
0.606061,1.52,1.15908e+06
0.626263,1.52,1.11671e+06
0.646465,1.52,1.06985e+06
0.666667,1.52,1.01848e+06
0.686869,1.52,962633
0.707071,1.52,405648
0.727273,1.52,391330
0.747475,1.52,382265
0.767677,1.52,379748
0.787879,1.52,384613
0.808081,1.52,397231
0.828283,1.52,417511
0.848485,1.52,444898
0.868687,1.52,478377
0.888889,1.52,516469
0.909091,1.52,593176
0.929293,1.52,626765
0.949495,1.52,662781
0.969697,1.52,701198
0.989899,1.52,644821
1.0101,1.52,646311
1.0303,1.52,645861
1.05051,1.52,644761
1.07071,1.52,643945
1.09091,1.52,643983
1.11111,1.52,610153
1.13131,1.52,596011
1.15152,1.52,580064
1.17172,1.52,562128
1.19192,1.52,542051
1.21212,1.52,546570
1.23232,1.52,564892
1.25253,1.52,593322
1.27273,1.52,639747
1.29293,1.52,647408
1.31313,1.52,666680
1.33333,1.52,694928
1.35354,1.52,729810
1.37374,1.52,769285
1.39394,1.52,811605
1.41414,1.52,855320
1.43434,1.52,899274
1.45455,1.52,942611
1.47475,1.52,984768
1.49495,1.52,1.02548e+06
1.51515,1.52,1.06478e+06
1.53535,1.52,1.06514e+06
1.55556,1.52,1.05011e+06
1.57576,1.52,1.15077e+06
1.59596,1.52,1.16204e+06
1.61616,1.52,1.16614e+06
1.63636,1.52,1.16547e+06
1.65657,1.52,1.16258e+06
1.67677,1.52,1.15607e+06
1.69697,1.52,1.14482e+06
1.71717,1.52,1.12796e+06
1.73737,1.52,1.10492e+06
1.75758,1.52,1.07538e+06
1.77778,1.52,1.03932e+06
1.79798,1.52,996977
1.81818,1.52,948869
1.83838,1.52,895786
1.85859,1.52,838795
1.87879,1.52,779238
1.89899,1.52,718728
1.91919,1.52,659156
1.93939,1.52,602686
1.9596,1.52,551757
1.9798,1.52,509082
2,1.52,146819
0,1.54,910694
0.020202,1.54,780684
0.040404,1.54,642763
0.0606061,1.54,619253
0.0808081,1.54,621219
0.10101,1.54,644251
0.121212,1.54,684348
0.141414,1.54,737922
0.161616,1.54,801798
0.181818,1.54,873212
0.20202,1.54,949811
0.222222,1.54,1.02966e+06
0.242424,1.54,1.11122e+06
0.262626,1.54,1.19338e+06
0.282828,1.54,1.27545e+06
0.30303,1.54,1.35711e+06
0.323232,1.54,1.43851e+06
0.343434,1.54,1.52016e+06
0.363636,1.54,1.60836e+06
0.383838,1.54,1.56579e+06
0.40404,1.54,1.52432e+06
0.424242,1.54,1.484e+06
0.444444,1.54,1.02138e+06
0.464646,1.54,1.01062e+06
0.484848,1.54,997916
0.505051,1.54,983156
0.525253,1.54,966276
0.545455,1.54,947241
0.565657,1.54,926047
0.585859,1.54,902724
0.606061,1.54,1.22323e+06
0.626263,1.54,1.17725e+06
0.646465,1.54,1.12675e+06
0.666667,1.54,1.07175e+06
0.686869,1.54,1.01228e+06
0.707071,1.54,399557
0.727273,1.54,382058
0.747475,1.54,369616
0.767677,1.54,363710
0.787879,1.54,365358
0.808081,1.54,375117
0.828283,1.54,393078
0.848485,1.54,418873
0.868687,1.54,451670
0.888889,1.54,490174
0.909091,1.54,532628
0.929293,1.54,633882
0.949495,1.54,669992
0.969697,1.54,708706
0.989899,1.54,687744
1.0101,1.54,690035
1.0303,1.54,691375
1.05051,1.54,692522
1.07071,1.54,672870
1.09091,1.54,658344
1.11111,1.54,641921
1.13131,1.54,623406
1.15152,1.54,602633
1.17172,1.54,579469
1.19192,1.54,562433
1.21212,1.54,566526
1.23232,1.54,575389
1.25253,1.54,592893
1.27273,1.54,729781
1.29293,1.54,726892
1.31313,1.54,735614
1.33333,1.54,753300
1.35354,1.54,777595
1.37374,1.54,806444
1.39394,1.54,838086
1.41414,1.54,871059
1.43434,1.54,904194
1.45455,1.54,936621
1.47475,1.54,967765
1.49495,1.54,997349
1.51515,1.54,1.06677e+06
1.53535,1.54,1.05199e+06
1.55556,1.54,1.03396e+06
1.57576,1.54,1.12398e+06
1.59596,1.54,1.1286e+06
1.61616,1.54,1.1359e+06
1.63636,1.54,1.13092e+06
1.65657,1.54,1.12516e+06
1.67677,1.54,1.117e+06
1.69697,1.54,1.10512e+06
1.71717,1.54,1.08844e+06
1.73737,1.54,1.06618e+06
1.75758,1.54,1.03783e+06
1.77778,1.54,1.00314e+06
1.79798,1.54,962144
1.81818,1.54,915159
1.83838,1.54,862768
1.85859,1.54,805828
1.87879,1.54,745473
1.89899,1.54,683111
1.91919,1.54,620424
1.93939,1.54,559370
