Distance[um],dz[um],Mag_Ez
0.828283,1.46,4.50906e+06
0.848485,1.46,4.6024e+06
0.868687,1.46,4.62751e+06
0.888889,1.46,4.74668e+06
0.909091,1.46,4.85684e+06
0.929293,1.46,4.95817e+06
0.949495,1.46,5.05095e+06
0.969697,1.46,5.13556e+06
0.989899,1.46,5.2125e+06
1.0101,1.46,5.28233e+06
1.0303,1.46,4.90323e+06
1.05051,1.46,4.81787e+06
1.07071,1.46,4.72882e+06
1.09091,1.46,4.63607e+06
1.11111,1.46,4.53996e+06
1.13131,1.46,4.44115e+06
1.15152,1.46,4.34066e+06
1.17172,1.46,4.23986e+06
1.19192,1.46,4.14046e+06
1.21212,1.46,4.79815e+06
1.23232,1.46,4.7672e+06
1.25253,1.46,3.97366e+06
1.27273,1.46,3.73084e+06
1.29293,1.46,3.49399e+06
1.31313,1.46,3.26234e+06
1.33333,1.46,3.03553e+06
1.35354,1.46,3.59363e+06
1.37374,1.46,3.44014e+06
1.39394,1.46,3.28941e+06
1.41414,1.46,3.14166e+06
1.43434,1.46,2.99721e+06
1.45455,1.46,2.8565e+06
1.47475,1.46,2.72005e+06
1.49495,1.46,2.58851e+06
1.51515,1.46,2.4626e+06
1.53535,1.46,2.34315e+06
1.55556,1.46,2.23109e+06
1.57576,1.46,2.25139e+06
1.59596,1.46,2.09946e+06
1.61616,1.46,1.90178e+06
1.63636,1.46,1.75346e+06
1.65657,1.46,1.62292e+06
1.67677,1.46,1.51326e+06
1.69697,1.46,1.42701e+06
1.71717,1.46,1.36617e+06
1.73737,1.46,1.3322e+06
1.75758,1.46,1.32602e+06
1.77778,1.46,1.348e+06
1.79798,1.46,1.39796e+06
1.81818,1.46,1.47521e+06
1.83838,1.46,1.57847e+06
1.85859,1.46,1.70596e+06
1.87879,1.46,1.85534e+06
1.89899,1.46,2.02372e+06
1.91919,1.46,2.20769e+06
1.93939,1.46,2.40327e+06
1.9596,1.46,2.60595e+06
1.9798,1.46,3.8887e+06
2,1.46,4.1686e+06
0,1.48,3.5224e+06
0.020202,1.48,2.36833e+06
0.040404,1.48,2.17249e+06
0.0606061,1.48,1.95992e+06
0.0808081,1.48,1.74678e+06
0.10101,1.48,1.54701e+06
0.121212,1.48,1.37238e+06
0.141414,1.48,1.23247e+06
0.161616,1.48,1.13466e+06
0.181818,1.48,1.08414e+06
0.20202,1.48,1.08392e+06
0.222222,1.48,1.1348e+06
0.242424,1.48,1.2354e+06
0.262626,1.48,1.38216e+06
0.282828,1.48,1.56931e+06
0.30303,1.48,1.78889e+06
0.323232,1.48,2.03077e+06
0.343434,1.48,2.1747e+06
0.363636,1.48,2.41863e+06
0.383838,1.48,2.67901e+06
0.40404,1.48,2.296e+06
0.424242,1.48,2.42707e+06
0.444444,1.48,2.55911e+06
0.464646,1.48,2.69189e+06
0.484848,1.48,2.82525e+06
0.505051,1.48,2.95903e+06
0.525253,1.48,3.09317e+06
0.545455,1.48,3.22759e+06
0.565657,1.48,3.36231e+06
0.585859,1.48,3.49736e+06
0.606061,1.48,3.63282e+06
0.626263,1.48,3.76882e+06
0.646465,1.48,3.90552e+06
0.666667,1.48,4.04315e+06
0.686869,1.48,4.18194e+06
0.707071,1.48,4.32221e+06
0.727273,1.48,4.06188e+06
0.747475,1.48,4.18754e+06
0.767677,1.48,4.30856e+06
0.787879,1.48,4.42409e+06
0.808081,1.48,4.53333e+06
0.828283,1.48,4.63554e+06
0.848485,1.48,4.72998e+06
0.868687,1.48,4.816e+06
0.888889,1.48,4.8893e+06
0.909091,1.48,4.99718e+06
0.929293,1.48,5.09598e+06
0.949495,1.48,5.18609e+06
0.969697,1.48,5.26798e+06
0.989899,1.48,5.34225e+06
1.0101,1.48,4.98094e+06
1.0303,1.48,4.89707e+06
1.05051,1.48,4.80859e+06
1.07071,1.48,4.71492e+06
1.09091,1.48,4.61587e+06
1.11111,1.48,4.51156e+06
1.13131,1.48,4.40248e+06
1.15152,1.48,4.28942e+06
1.17172,1.48,4.17357e+06
1.19192,1.48,4.74655e+06
1.21212,1.48,4.66998e+06
1.23232,1.48,4.63736e+06
1.25253,1.48,4.21174e+06
1.27273,1.48,3.96435e+06
1.29293,1.48,3.72316e+06
1.31313,1.48,3.48705e+06
1.33333,1.48,3.25532e+06
1.35354,1.48,3.02767e+06
1.37374,1.48,2.80422e+06
1.39394,1.48,2.58551e+06
1.41414,1.48,2.37248e+06
1.43434,1.48,2.16651e+06
1.45455,1.48,1.96935e+06
1.47475,1.48,1.7832e+06
1.49495,1.48,2.63413e+06
1.51515,1.48,2.49522e+06
1.53535,1.48,2.36281e+06
1.55556,1.48,2.23782e+06
1.57576,1.48,2.12125e+06
1.59596,1.48,2.03904e+06
1.61616,1.48,1.88214e+06
1.63636,1.48,1.73881e+06
1.65657,1.48,1.61269e+06
1.67677,1.48,1.50684e+06
1.69697,1.48,1.42381e+06
1.71717,1.48,1.3656e+06
1.73737,1.48,1.33366e+06
1.75758,1.48,1.32889e+06
1.77778,1.48,1.35168e+06
1.79798,1.48,1.40184e+06
1.81818,1.48,1.47866e+06
1.83838,1.48,1.58088e+06
1.85859,1.48,1.7067e+06
1.87879,1.48,1.85378e+06
1.89899,1.48,2.01924e+06
1.91919,1.48,2.19964e+06
1.93939,1.48,2.39102e+06
1.9596,1.48,2.58886e+06
1.9798,1.48,2.78811e+06
2,1.48,4.28469e+06
0,1.5,3.08077e+06
0.020202,1.5,3.05766e+06
0.040404,1.5,2.83888e+06
0.0606061,1.5,2.60546e+06
0.0808081,1.5,2.36984e+06
0.10101,1.5,2.14305e+06
0.121212,1.5,1.93472e+06
0.141414,1.5,1.75307e+06
0.161616,1.5,1.60491e+06
0.181818,1.5,1.49564e+06
0.20202,1.5,1.42926e+06
0.222222,1.5,1.40835e+06
0.242424,1.5,1.43409e+06
0.262626,1.5,1.50624e+06
0.282828,1.5,1.62318e+06
0.30303,1.5,1.78186e+06
0.323232,1.5,1.97782e+06
0.343434,1.5,2.20519e+06
0.363636,1.5,2.45672e+06
0.383838,1.5,2.74879e+06
0.40404,1.5,2.70662e+06
0.424242,1.5,2.95727e+06
0.444444,1.5,3.01612e+06
0.464646,1.5,2.84354e+06
0.484848,1.5,2.9767e+06
0.505051,1.5,3.11007e+06
0.525253,1.5,3.24361e+06
0.545455,1.5,3.37735e+06
0.565657,1.5,3.51132e+06
0.585859,1.5,3.64563e+06
0.606061,1.5,3.78041e+06
0.626263,1.5,3.91585e+06
0.646465,1.5,4.05218e+06
0.666667,1.5,4.18965e+06
0.686869,1.5,4.32858e+06
0.707071,1.5,4.46934e+06
0.727273,1.5,4.17643e+06
0.747475,1.5,4.30944e+06
0.767677,1.5,4.43643e+06
0.787879,1.5,4.55665e+06
0.808081,1.5,4.66937e+06
0.828283,1.5,4.7739e+06
0.848485,1.5,4.86963e+06
0.868687,1.5,4.95594e+06
0.888889,1.5,5.04109e+06
0.909091,1.5,5.14566e+06
0.929293,1.5,5.24105e+06
0.949495,1.5,5.32774e+06
0.969697,1.5,5.40632e+06
0.989899,1.5,5.47747e+06
1.0101,1.5,5.00517e+06
1.0303,1.5,4.9207e+06
1.05051,1.5,4.83019e+06
1.07071,1.5,4.73287e+06
1.09091,1.5,4.62834e+06
1.11111,1.5,4.51653e+06
1.13131,1.5,4.3977e+06
1.15152,1.5,4.86714e+06
1.17172,1.5,4.78243e+06
1.19192,1.5,4.69816e+06
1.21212,1.5,4.63684e+06
1.23232,1.5,4.56381e+06
1.25253,1.5,4.49979e+06
1.27273,1.5,4.2011e+06
1.29293,1.5,3.95685e+06
1.31313,1.5,3.71794e+06
1.33333,1.5,3.4833e+06
1.35354,1.5,3.2523e+06
1.37374,1.5,3.02472e+06
1.39394,1.5,2.80074e+06
1.41414,1.5,2.58097e+06
1.43434,1.5,2.36643e+06
1.45455,1.5,2.15854e+06
1.47475,1.5,1.95914e+06
1.49495,1.5,1.7705e+06
1.51515,1.5,1.59527e+06
1.53535,1.5,1.43655e+06
1.55556,1.5,1.29783e+06
1.57576,1.5,2.24442e+06
1.59596,1.5,2.09461e+06
1.61616,1.5,1.93556e+06
1.63636,1.5,1.78378e+06
1.65657,1.5,1.64479e+06
1.67677,1.5,1.52337e+06
1.69697,1.5,1.42356e+06
1.71717,1.5,1.34867e+06
1.73737,1.5,1.30125e+06
1.75758,1.5,1.28314e+06
1.77778,1.5,1.2954e+06
1.79798,1.5,1.33837e+06
1.81818,1.5,1.41167e+06
1.83838,1.5,1.51413e+06
1.85859,1.5,1.64387e+06
1.87879,1.5,1.79828e+06
1.89899,1.5,1.97399e+06
1.91919,1.5,2.16688e+06
1.93939,1.5,2.37212e+06
1.9596,1.5,2.58411e+06
1.9798,1.5,2.79652e+06
2,1.5,3.00229e+06
0,1.52,2.93622e+06
0.020202,1.52,2.91344e+06
0.040404,1.52,2.70613e+06
0.0606061,1.52,2.48454e+06
0.0808081,1.52,2.26102e+06
0.10101,1.52,2.04653e+06
0.121212,1.52,1.85063e+06
0.141414,1.52,1.68145e+06
0.161616,1.52,1.54573e+06
0.181818,1.52,1.44879e+06
0.20202,1.52,1.39455e+06
0.222222,1.52,1.38551e+06
0.242424,1.52,1.42278e+06
0.262626,1.52,1.50604e+06
0.282828,1.52,1.63359e+06
0.30303,1.52,1.80229e+06
0.323232,1.52,2.00762e+06
0.343434,1.52,2.24363e+06
0.363636,1.52,2.50299e+06
0.383838,1.52,2.60464e+06
0.40404,1.52,2.58147e+06
0.424242,1.52,2.6979e+06
0.444444,1.52,2.75667e+06
0.464646,1.52,2.82609e+06
0.484848,1.52,2.90485e+06
0.505051,1.52,2.99177e+06
0.525253,1.52,3.0858e+06
0.545455,1.52,3.50589e+06
0.565657,1.52,3.63873e+06
0.585859,1.52,3.77204e+06
0.606061,1.52,3.90599e+06
0.626263,1.52,4.04084e+06
0.646465,1.52,4.17686e+06
0.666667,1.52,4.31438e+06
0.686869,1.52,4.45377e+06
0.707071,1.52,4.15717e+06
0.727273,1.52,4.30385e+06
0.747475,1.52,4.44398e+06
0.767677,1.52,4.57683e+06
0.787879,1.52,4.70172e+06
0.808081,1.52,4.818e+06
0.828283,1.52,4.92507e+06
0.848485,1.52,5.02238e+06
0.868687,1.52,5.10941e+06
0.888889,1.52,5.18568e+06
0.909091,1.52,5.30515e+06
0.929293,1.52,5.39631e+06
0.949495,1.52,5.47892e+06
0.969697,1.52,5.55366e+06
0.989899,1.52,5.14259e+06
1.0101,1.52,5.06508e+06
1.0303,1.52,4.98126e+06
1.05051,1.52,4.88982e+06
1.07071,1.52,4.78982e+06
1.09091,1.52,4.68063e+06
1.11111,1.52,5.0695e+06
1.13131,1.52,4.98589e+06
1.15152,1.52,4.89952e+06
1.17172,1.52,4.81084e+06
