Distance[um],dz[um],Mag_E[V_per_meter]
1.23232,1.46,2.55363e+06
1.25253,1.46,2.50054e+06
1.27273,1.46,2.38771e+06
1.29293,1.46,2.2759e+06
1.31313,1.46,2.16505e+06
1.33333,1.46,2.05518e+06
1.35354,1.46,1.94652e+06
1.37374,1.46,1.84405e+06
1.39394,1.46,1.74568e+06
1.41414,1.46,1.65179e+06
1.43434,1.46,1.56281e+06
1.45455,1.46,1.47923e+06
1.47475,1.46,1.40162e+06
1.49495,1.46,1.33063e+06
1.51515,1.46,1.26693e+06
1.53535,1.46,1.21132e+06
1.55556,1.46,1.16461e+06
1.57576,1.46,1.12346e+06
1.59596,1.46,1.05802e+06
1.61616,1.46,994505
1.63636,1.46,927980
1.65657,1.46,869014
1.67677,1.46,817177
1.69697,1.46,772031
1.71717,1.46,733130
1.73737,1.46,700016
1.75758,1.46,672225
1.77778,1.46,649280
1.79798,1.46,630698
1.81818,1.46,615986
1.83838,1.46,604641
1.85859,1.46,596152
1.87879,1.46,589997
1.89899,1.46,585646
1.91919,1.46,582560
1.93939,1.46,580191
1.9596,1.46,577980
1.9798,1.46,546226
2,1.46,522017
0,1.48,287582
0.020202,1.48,282358
0.040404,1.48,321025
0.0606061,1.48,356893
0.0808081,1.48,391224
0.10101,1.48,425215
0.121212,1.48,460003
0.141414,1.48,496659
0.161616,1.48,536191
0.181818,1.48,579545
0.20202,1.48,627602
0.222222,1.48,681182
0.242424,1.48,741038
0.262626,1.48,807862
0.282828,1.48,882283
0.30303,1.48,964865
0.323232,1.48,1.05611e+06
0.343434,1.48,1.15628e+06
0.363636,1.48,1.26297e+06
0.383838,1.48,1.37881e+06
0.40404,1.48,1.47345e+06
0.424242,1.48,1.53016e+06
0.444444,1.48,1.59181e+06
0.464646,1.48,1.65754e+06
0.484848,1.48,1.72662e+06
0.505051,1.48,1.79835e+06
0.525253,1.48,1.87215e+06
0.545455,1.48,1.94753e+06
0.565657,1.48,2.02407e+06
0.585859,1.48,2.10145e+06
0.606061,1.48,2.17942e+06
0.626263,1.48,2.25783e+06
0.646465,1.48,2.3366e+06
0.666667,1.48,2.41576e+06
0.686869,1.48,2.49542e+06
0.707071,1.48,2.57576e+06
0.727273,1.48,2.65903e+06
0.747475,1.48,2.73292e+06
0.767677,1.48,2.79462e+06
0.787879,1.48,2.84415e+06
0.808081,1.48,2.88155e+06
0.828283,1.48,2.90692e+06
0.848485,1.48,2.92041e+06
0.868687,1.48,2.9222e+06
0.888889,1.48,2.94226e+06
0.909091,1.48,2.97351e+06
0.929293,1.48,3.00694e+06
0.949495,1.48,3.04101e+06
0.969697,1.48,3.07463e+06
0.989899,1.48,3.10716e+06
1.0101,1.48,3.11037e+06
1.0303,1.48,3.01612e+06
1.05051,1.48,2.93186e+06
1.07071,1.48,2.85686e+06
