Distance[um],dz[um],Mag_Ex_um,Mag_Ex_um
0.10101,1.5,3.8945,0.851505
0.121212,1.5,3.74311,0.794315
0.141414,1.5,3.59178,0.745301
0.161616,1.5,3.44049,0.705444
0.181818,1.5,3.28922,0.675491
0.20202,1.5,3.13798,0.655947
0.222222,1.5,2.98679,0.64708
0.242424,1.5,2.83568,0.648921
0.262626,1.5,2.6847,0.661261
0.282828,1.5,2.5339,0.683655
0.30303,1.5,2.38336,0.715418
0.323232,1.5,2.23318,0.755628
0.343434,1.5,2.08345,0.803125
0.363636,1.5,1.9343,0.856509
0.383838,1.5,1.78586,0.914146
0.40404,1.5,1.63827,0.974159
0.424242,1.5,1.44431,1.72527
0.444444,1.5,1.40385,1.70806
0.464646,1.5,1.38269,1.69373
0.484848,1.5,1.37815,1.68237
0.505051,1.5,1.38767,1.67408
0.525253,1.5,1.40883,1.66892
0.545455,1.5,1.43934,1.66695
0.565657,1.5,1.398,1.67171
0.585859,1.5,1.43053,1.71575
0.606061,1.5,1.46811,1.75978
0.626263,1.5,1.51043,1.80381
0.646465,1.5,1.55715,1.84785
0.666667,1.5,1.60791,1.89193
0.686869,1.5,1.66229,1.93608
0.707071,1.5,1.71986,1.98031
0.727273,1.5,2.88402,2.76339
0.747475,1.5,2.89906,2.76991
0.767677,1.5,2.91552,2.77902
0.787879,1.5,2.93309,2.79065
0.808081,1.5,2.95136,2.80471
0.828283,1.5,2.96985,2.82109
0.848485,1.5,2.98796,2.83967
0.868687,1.5,3.00499,2.86031
0.888889,1.5,3.42296,3.04859
0.909091,1.5,3.06937,2.80533
0.929293,1.5,2.19938,1.6092
0.949495,1.5,2.22014,1.63569
0.969697,1.5,2.24107,1.66276
0.989899,1.5,2.26216,1.69036
1.0101,1.5,2.2834,1.71848
1.0303,1.5,2.30479,1.74709
1.05051,1.5,2.32632,1.77617
1.07071,1.5,2.73322,2.54978
1.09091,1.5,2.68708,2.5621
1.11111,1.5,2.64249,2.57423
1.13131,1.5,2.97868,3.23951
1.15152,1.5,2.92609,3.23462
1.17172,1.5,2.87541,3.22985
1.19192,1.5,2.70784,3.06004
1.21212,1.5,2.66365,3.02689
1.23232,1.5,2.61943,2.99703
1.25253,1.5,2.70467,2.96638
1.27273,1.5,2.64542,2.87937
1.29293,1.5,2.58991,2.79342
1.31313,1.5,2.53842,2.7085
1.33333,1.5,2.49123,2.62461
1.35354,1.5,2.44858,2.54177
1.37374,1.5,2.4107,2.46003
1.39394,1.5,2.30417,2.33533
1.41414,1.5,2.25085,2.23853
1.43434,1.5,2.20506,2.1438
1.45455,1.5,2.16727,2.0516
1.47475,1.5,2.13793,1.96242
1.49495,1.5,2.11751,1.87686
1.51515,1.5,2.10648,1.79561
1.53535,1.5,2.10529,1.71942
1.55556,1.5,2.15694,1.37372
1.57576,1.5,2.23207,1.36529
1.59596,1.5,2.30788,1.36064
1.61616,1.5,2.38133,1.35972
1.63636,1.5,1.75183,0.506614
1.65657,1.5,1.8136,0.499848
1.67677,1.5,1.87539,0.494896
1.69697,1.5,1.93721,0.492346
1.71717,1.5,1.99902,0.492614
1.73737,1.5,2.06083,0.495943
1.75758,1.5,2.12264,0.502408
1.77778,1.5,2.18446,0.511909
1.79798,1.5,2.2463,0.524177
1.81818,1.5,2.3082,0.538772
1.83838,1.5,2.10939,0.649018
1.85859,1.5,2.1164,0.663874
1.87879,1.5,2.12442,0.681033
1.89899,1.5,2.1333,0.700436
1.91919,1.5,2.14289,0.722019
1.93939,1.5,2.15306,0.74571
1.9596,1.5,2.16368,0.771432
1.9798,1.5,2.17463,0.799099
2,1.5,2.18578,0.82862
0,1.52,4.64433,0.547853
0.020202,1.52,4.55023,0.55175
0.040404,1.52,4.45473,0.558313
0.0606061,1.52,4.16137,0.845836
0.0808081,1.52,4.04562,0.785249
0.10101,1.52,3.92247,0.738155
0.121212,1.52,3.7145,0.733209
0.141414,1.52,3.55913,0.684746
0.161616,1.52,3.40375,0.647311
0.181818,1.52,3.24836,0.621422
0.20202,1.52,3.09301,0.607357
0.222222,1.52,2.93775,0.605154
0.242424,1.52,2.78264,0.614616
0.262626,1.52,2.62776,0.635307
0.282828,1.52,2.47321,0.666551
0.30303,1.52,2.31909,0.707437
0.323232,1.52,2.16553,0.756814
0.343434,1.52,2.01267,0.813292
0.363636,1.52,1.86065,0.875246
0.383838,1.52,1.70965,0.940809
0.40404,1.52,1.55985,1.00788
0.424242,1.52,1.34293,1.71344
0.444444,1.52,1.3139,1.69733
0.464646,1.52,1.30433,1.68421
0.484848,1.52,1.31171,1.67415
0.505051,1.52,1.33362,1.66724
0.525253,1.52,1.36783,1.66351
0.545455,1.52,1.41221,1.66302
0.565657,1.52,1.46477,1.66577
0.585859,1.52,1.46154,1.69242
0.606061,1.52,1.50812,1.73426
0.626263,1.52,1.55925,1.77603
0.646465,1.52,1.61453,1.81777
0.666667,1.52,1.67354,1.85951
0.686869,1.52,1.7358,1.90128
0.707071,1.52,1.80081,1.94314
0.727273,1.52,3.04557,2.81126
0.747475,1.52,3.06173,2.82012
0.767677,1.52,3.07945,2.83164
0.787879,1.52,3.09828,2.84572
0.808081,1.52,3.11766,2.86225
0.828283,1.52,3.13694,2.8811
0.848485,1.52,3.4359,3.00574
0.868687,1.52,3.5353,3.05798
0.888889,1.52,3.63571,3.11543
0.909091,1.52,3.34545,2.92634
0.929293,1.52,3.3196,2.91846
0.949495,1.52,2.55672,1.88126
0.969697,1.52,2.57602,1.91474
0.989899,1.52,2.59549,1.94851
1.0101,1.52,2.61515,1.98257
1.0303,1.52,2.635,2.01691
1.05051,1.52,2.65505,2.0515
1.07071,1.52,2.9609,2.70618
1.09091,1.52,2.91043,2.71835
1.11111,1.52,2.86098,2.7305
1.13131,1.52,3.0767,3.28902
1.15152,1.52,3.01979,3.28916
1.17172,1.52,2.96458,3.28946
1.19192,1.52,2.91115,3.28993
1.21212,1.52,2.77475,3.1338
1.23232,1.52,2.7293,3.11188
1.25253,1.52,2.80862,3.15184
1.27273,1.52,2.74017,3.06558
1.29293,1.52,2.67553,2.98054
1.31313,1.52,2.61502,2.89666
1.33333,1.52,2.49966,2.75494
1.35354,1.52,2.41812,2.65403
1.37374,1.52,2.34275,2.55453
1.39394,1.52,2.27409,2.45654
1.41414,1.52,2.21266,2.36022
1.43434,1.52,2.15901,2.26585
1.45455,1.52,2.11367,2.17377
1.47475,1.52,2.07719,2.0844
1.49495,1.52,2.05008,1.99825
1.51515,1.52,2.0329,1.91592
1.53535,1.52,2.02616,1.83809
1.55556,1.52,2.02037,1.44528
1.57576,1.52,2.09559,1.43444
1.59596,1.52,2.17202,1.4274
1.61616,1.52,2.24695,1.42413
1.63636,1.52,2.31769,1.42458
1.65657,1.52,1.74932,0.512411
1.67677,1.52,1.81243,0.500395
