Distance[um],dz[um],Mag_Ey_um,Mag_Ey_um
0.323232,1.46,1.69192,1.36115
0.343434,1.46,1.7021,1.3183
0.363636,1.46,1.70578,1.26897
0.383838,1.46,1.7032,1.21345
0.40404,1.46,1.69487,1.15214
0.424242,1.46,1.62249,1.03921
0.444444,1.46,1.51958,0.871696
0.464646,1.46,1.43099,0.728763
0.484848,1.46,1.35346,0.610539
0.505051,1.46,1.28391,0.516981
0.525253,1.46,1.30691,0.619206
0.545455,1.46,1.23736,0.587252
0.565657,1.46,1.16633,0.586464
0.585859,1.46,1.09397,0.616346
0.606061,1.46,1.0206,0.674376
0.626263,1.46,0.946617,0.756004
0.646465,1.46,0.87259,0.85465
0.666667,1.46,0.799193,0.96171
0.686869,1.46,0.727234,1.06655
0.707071,1.46,0.657648,1.15651
0.727273,1.46,0.591499,1.21689
0.747475,1.46,0.539064,1.24281
0.767677,1.46,0.543734,1.33267
0.787879,1.46,0.590978,1.42851
0.808081,1.46,0.671187,1.52793
0.828283,1.46,0.776002,1.62914
0.848485,1.46,0.898327,1.73094
0.868687,1.46,1.03232,1.83278
0.888889,1.46,1.17338,1.93466
0.909091,1.46,0.282946,0.460399
0.929293,1.46,0.250536,0.38096
0.949495,1.46,0.219846,0.279348
0.969697,1.46,0.188672,0.18891
0.989899,1.46,0.156256,0.132631
1.0101,1.46,0.259536,0.723551
1.0303,1.46,0.331926,0.921948
1.05051,1.46,0.413157,1.12167
1.07071,1.46,0.494578,1.31737
1.09091,1.46,0.566024,1.51052
1.11111,1.46,0.760564,1.92768
1.13131,1.46,0.806187,1.93602
1.15152,1.46,0.705838,1.86594
1.17172,1.46,0.627768,1.79151
1.19192,1.46,0.576687,1.71262
1.21212,1.46,0.555841,1.62956
1.23232,1.46,0.567012,1.54311
1.25253,1.46,0.610565,1.47477
1.27273,1.46,0.691092,1.38966
1.29293,1.46,0.774573,1.30201
1.31313,1.46,0.858567,1.2164
1.33333,1.46,0.940972,1.137
1.35354,1.46,1.02003,1.0675
1.37374,1.46,1.09433,1.01114
1.39394,1.46,1.16281,0.970749
1.41414,1.46,1.22472,0.948665
1.43434,1.46,1.27969,0.946797
1.45455,1.46,1.32767,0.966603
1.47475,1.46,1.36897,1.00909
1.49495,1.46,1.64347,1.08362
1.51515,1.46,1.72082,1.17631
1.53535,1.46,1.79608,1.29267
1.55556,1.46,1.87164,1.43329
1.57576,1.46,1.83052,1.5946
1.59596,1.46,1.86406,1.74023
1.61616,1.46,1.89744,1.88386
1.63636,1.46,1.69702,1.58332
1.65657,1.46,1.67377,1.60307
1.67677,1.46,1.64634,1.61761
1.69697,1.46,1.6129,1.62566
1.71717,1.46,1.57239,1.62621
1.73737,1.46,1.21464,1.09039
1.75758,1.46,1.15671,1.05094
1.77778,1.46,1.09311,1.00415
1.79798,1.46,1.02376,0.949984
1.81818,1.46,0.948603,0.888427
1.83838,1.46,0.867563,0.819464
1.85859,1.46,0.780576,0.743081
1.87879,1.46,0.687578,0.659266
1.89899,1.46,0.588505,0.56801
1.91919,1.46,0.483299,0.469308
1.93939,1.46,0.371901,0.363156
1.9596,1.46,0.254254,0.249552
1.9798,1.46,0.130304,0.128499
2,1.46,0,0
0,1.48,0,0
0.020202,1.48,1.28826,1.16816
0.040404,1.48,1.25611,1.2091
0.0606061,1.48,1.24416,1.24842
0.0808081,1.48,1.24873,1.28521
0.10101,1.48,1.26644,1.31865
0.121212,1.48,1.29413,1.34801
0.141414,1.48,1.32894,1.37264
0.161616,1.48,1.36827,1.39195
0.181818,1.48,1.40978,1.40547
0.20202,1.48,1.45141,1.4128
0.222222,1.48,1.49134,1.41362
0.242424,1.48,1.52806,1.40769
0.262626,1.48,1.56028,1.39487
0.282828,1.48,1.58702,1.37509
0.30303,1.48,1.60752,1.34837
0.323232,1.48,1.62134,1.31481
0.343434,1.48,1.62826,1.27461
0.363636,1.48,1.62835,1.22803
0.383838,1.48,1.62195,1.17543
0.40404,1.48,1.60965,1.11726
0.424242,1.48,1.53706,1.01398
0.444444,1.48,1.43413,0.855423
0.464646,1.48,1.34379,0.721112
0.484848,1.48,1.26339,0.611136
0.505051,1.48,1.19051,0.525405
0.525253,1.48,1.12284,0.463655
0.545455,1.48,1.15254,0.573913
0.565657,1.48,1.0852,0.580746
0.585859,1.48,1.01662,0.616996
0.606061,1.48,0.94713,0.679923
0.626263,1.48,0.877196,0.764758
0.646465,1.48,0.807414,0.864706
0.666667,1.48,0.738505,0.970944
0.686869,1.48,0.671318,1.07262
