Distance[um],dz[um],Mag_Ez_um,Mag_Ez_um_1
1.67677,1.44,0.910687,0.244246
1.69697,1.44,0.769662,0.27558
1.71717,1.44,0.635655,0.305207
1.73737,1.44,0.510751,0.333527
1.75758,1.44,0.397092,0.360883
1.77778,1.44,0.296884,0.387562
1.79798,1.44,0.21239,0.413793
1.81818,1.44,0.145934,0.43975
1.83838,1.44,0.0999017,0.465552
1.85859,1.44,0.0767367,0.491259
1.87879,1.44,0.0789439,0.516877
1.89899,1.44,0.109088,0.542354
1.91919,1.44,0.169794,0.567583
1.93939,1.44,0.263746,0.592401
1.9596,1.44,0.393691,0.616586
1.9798,1.44,0.562432,0.639864
2,1.44,0.772836,0.6619
0,1.46,1.13341,0.711242
0.020202,1.46,1.2385,0.707718
0.040404,1.46,1.33908,0.70729
0.0606061,1.46,1.39752,0.672902
0.0808081,1.46,1.4604,0.636499
0.10101,1.46,1.52375,0.618779
0.121212,1.46,1.58652,0.616271
0.141414,1.46,1.64775,0.62581
0.161616,1.46,1.70661,0.644541
0.181818,1.46,1.76233,0.669915
0.20202,1.46,1.81424,0.699691
0.222222,1.46,1.86179,0.731936
0.242424,1.46,1.90448,0.765026
0.262626,1.46,1.94195,0.797643
0.282828,1.46,1.97391,0.828777
0.30303,1.46,2.00017,0.857727
0.323232,1.46,2.02064,0.884099
0.343434,1.46,2.03531,0.907808
0.363636,1.46,2.04429,0.929075
0.383838,1.46,2.04775,0.948429
0.40404,1.46,2.04598,0.966708
0.424242,1.46,1.74714,1.04326
0.444444,1.46,1.62963,0.999546
0.464646,1.46,1.52282,0.960213
0.484848,1.46,1.42469,0.924302
0.505051,1.46,1.33333,0.890919
0.525253,1.46,1.18504,0.765125
0.545455,1.46,1.1316,0.723494
0.565657,1.46,1.08052,0.686162
0.585859,1.46,1.0316,0.652795
0.606061,1.46,0.984636,0.623083
0.626263,1.46,0.939423,0.596745
0.646465,1.46,0.895744,0.573525
0.666667,1.46,0.853376,0.553193
0.686869,1.46,0.812085,0.535548
0.707071,1.46,0.771633,0.520411
0.727273,1.46,0.731771,0.507633
0.747475,1.46,0.538388,0.470497
0.767677,1.46,0.515552,0.496966
0.787879,1.46,0.515359,0.522428
0.808081,1.46,0.522874,0.555393
0.828283,1.46,0.532083,0.599493
0.848485,1.46,0.545896,0.653488
0.868687,1.46,0.576141,0.711267
0.888889,1.46,0.643567,0.76184
0.909091,1.46,0.134563,0.172685
0.929293,1.46,0.123468,0.234319
0.949495,1.46,0.148211,0.375669
0.969697,1.46,0.199613,0.563826
0.989899,1.46,0.27009,0.773337
1.0101,1.46,0.165568,0.623267
1.0303,1.46,0.210034,0.753053
1.05051,1.46,0.26819,0.874532
1.07071,1.46,0.342498,0.991482
1.09091,1.46,0.435586,1.11351
1.11111,1.46,0.181524,0.781537
1.13131,1.46,0.0772071,0.738533
1.15152,1.46,0.120722,0.656408
1.17172,1.46,0.181315,0.580745
1.19192,1.46,0.237123,0.51688
1.21212,1.46,0.291783,0.471027
1.23232,1.46,0.374431,0.450279
1.25253,1.46,0.638323,0.518511
1.27273,1.46,0.64847,0.495056
1.29293,1.46,0.660878,0.471827
1.31313,1.46,0.676437,0.447649
1.33333,1.46,0.695504,0.421625
1.35354,1.46,0.717908,0.393131
1.37374,1.46,0.742947,0.361822
1.39394,1.46,0.769388,0.327626
1.41414,1.46,0.795471,0.290748
1.43434,1.46,0.818901,0.25167
1.45455,1.46,0.836858,0.211149
1.47475,1.46,0.845989,0.170217
1.49495,1.46,0.722514,0.576288
1.51515,1.46,0.800739,0.581609
1.53535,1.46,0.884002,0.58662
1.55556,1.46,0.972426,0.59136
1.57576,1.46,1.07222,0.810364
1.59596,1.46,1.09969,0.774205
1.61616,1.46,1.12663,0.733813
1.63636,1.46,1.10288,0.159949
1.65657,1.46,1.09302,0.16276
1.67677,1.46,1.0829,0.169852
1.69697,1.46,1.07288,0.180232
